,repo_id,forks,year_month,community
3217,162672577,19,2023-06,PaddleHub
3218,507861208,18,2023-06,FastDeploy
3219,204380779,16,2023-06,PaddleSeg
3220,273214029,15,2023-06,PaddleGAN
3233,228290594,6,2023-06,PaddleSlim
3239,88868842,4,2023-06,models
3286,262296122,136,2023-07,PaddleOCR
3287,336274588,65,2023-07,PaddleNLP
3288,65711522,50,2023-07,Paddle
3289,217475193,42,2023-07,PaddleDetection
3291,204380779,20,2023-07,PaddleSeg
3292,507861208,15,2023-07,FastDeploy
3293,273214029,14,2023-07,PaddleGAN
3301,162672577,8,2023-07,PaddleHub
3316,228290594,3,2023-07,PaddleSlim
3335,88868842,1,2023-07,models
3363,262296122,121,2023-08,PaddleOCR
3364,65711522,68,2023-08,Paddle
3365,336274588,42,2023-08,PaddleNLP
3367,217475193,36,2023-08,PaddleDetection
3368,204380779,17,2023-08,PaddleSeg
3371,273214029,14,2023-08,PaddleGAN
3372,507861208,11,2023-08,FastDeploy
3373,162672577,10,2023-08,PaddleHub
3388,228290594,4,2023-08,PaddleSlim
3398,88868842,2,2023-08,models
3437,262296122,102,2023-09,PaddleOCR
3438,65711522,61,2023-09,Paddle
3439,336274588,42,2023-09,PaddleNLP
3440,217475193,32,2023-09,PaddleDetection
3444,204380779,16,2023-09,PaddleSeg
3447,507861208,11,2023-09,FastDeploy
3448,273214029,9,2023-09,PaddleGAN
3450,162672577,7,2023-09,PaddleHub
3452,228290594,4,2023-09,PaddleSlim
3468,88868842,2,2023-09,models
3509,262296122,96,2023-10,PaddleOCR
3510,336274588,40,2023-10,PaddleNLP
3512,65711522,31,2023-10,Paddle
3513,217475193,17,2023-10,PaddleDetection
3514,204380779,13,2023-10,PaddleSeg
3516,162672577,10,2023-10,PaddleHub
3517,507861208,8,2023-10,FastDeploy
3519,273214029,8,2023-10,PaddleGAN
3531,88868842,3,2023-10,models
3545,228290594,1,2023-10,PaddleSlim
3577,262296122,141,2023-11,PaddleOCR
3578,65711522,44,2023-11,Paddle
3579,336274588,29,2023-11,PaddleNLP
3581,217475193,29,2023-11,PaddleDetection
3584,204380779,18,2023-11,PaddleSeg
3585,507861208,12,2023-11,FastDeploy
3586,273214029,10,2023-11,PaddleGAN
3599,162672577,3,2023-11,PaddleHub
3623,228290594,0,2023-11,PaddleSlim
3644,88868842,0,2023-11,models
3650,262296122,100,2023-12,PaddleOCR
3651,336274588,36,2023-12,PaddleNLP
3652,65711522,32,2023-12,Paddle
3653,217475193,27,2023-12,PaddleDetection
3655,204380779,15,2023-12,PaddleSeg
3663,273214029,6,2023-12,PaddleGAN
3665,507861208,5,2023-12,FastDeploy
3668,162672577,4,2023-12,PaddleHub
3678,228290594,2,2023-12,PaddleSlim
3691,88868842,1,2023-12,models
3719,262296122,107,2024-01,PaddleOCR
3720,336274588,38,2024-01,PaddleNLP
3721,65711522,37,2024-01,Paddle
3722,217475193,29,2024-01,PaddleDetection
3724,204380779,19,2024-01,PaddleSeg
3727,162672577,11,2024-01,PaddleHub
3730,507861208,8,2024-01,FastDeploy
3731,273214029,7,2024-01,PaddleGAN
3741,228290594,3,2024-01,PaddleSlim
3766,88868842,0,2024-01,models
3788,262296122,85,2024-02,PaddleOCR
3789,65711522,34,2024-02,Paddle
3791,336274588,17,2024-02,PaddleNLP
3792,217475193,16,2024-02,PaddleDetection
3793,204380779,12,2024-02,PaddleSeg
3797,162672577,5,2024-02,PaddleHub
3802,273214029,4,2024-02,PaddleGAN
3807,507861208,2,2024-02,FastDeploy
3819,88868842,1,2024-02,models
3820,228290594,1,2024-02,PaddleSlim
3855,262296122,132,2024-03,PaddleOCR
3856,336274588,39,2024-03,PaddleNLP
3857,65711522,38,2024-03,Paddle
3858,217475193,23,2024-03,PaddleDetection
3860,204380779,18,2024-03,PaddleSeg
3863,273214029,10,2024-03,PaddleGAN
3866,162672577,9,2024-03,PaddleHub
3873,507861208,4,2024-03,FastDeploy
3887,88868842,2,2024-03,models
3893,228290594,1,2024-03,PaddleSlim
