,repo_id,record_num,year_month,community
2153,336274588,76,2023-10,PaddleNLP
2159,262296122,17,2023-10,PaddleOCR
2162,507861208,12,2023-10,FastDeploy
2166,217475193,6,2023-10,PaddleDetection
2169,204380779,5,2023-10,PaddleSeg
2175,228290594,1,2023-10,PaddleSlim
2176,65711522,682,2023-11,Paddle
2177,336274588,78,2023-11,PaddleNLP
2186,204380779,12,2023-11,PaddleSeg
2188,262296122,8,2023-11,PaddleOCR
2190,217475193,7,2023-11,PaddleDetection
2191,507861208,7,2023-11,FastDeploy
2192,228290594,3,2023-11,PaddleSlim
2196,273214029,1,2023-11,PaddleGAN
2203,65711522,611,2023-12,Paddle
2205,336274588,100,2023-12,PaddleNLP
2215,262296122,9,2023-12,PaddleOCR
2216,228290594,7,2023-12,PaddleSlim
2218,217475193,5,2023-12,PaddleDetection
2219,507861208,5,2023-12,FastDeploy
2220,204380779,4,2023-12,PaddleSeg
2227,273214029,1,2023-12,PaddleGAN
2231,65711522,589,2024-01,Paddle
2232,336274588,91,2024-01,PaddleNLP
2241,262296122,9,2024-01,PaddleOCR
2245,228290594,4,2024-01,PaddleSlim
2251,507861208,1,2024-01,FastDeploy
2252,204380779,1,2024-01,PaddleSeg
2253,217475193,1,2024-01,PaddleDetection
2254,65711522,638,2024-02,Paddle
2256,336274588,25,2024-02,PaddleNLP
2262,228290594,8,2024-02,PaddleSlim
2267,507861208,3,2024-02,FastDeploy
2272,273214029,3,2024-02,PaddleGAN
2276,262296122,1,2024-02,PaddleOCR
2285,65711522,495,2024-03,Paddle
2286,336274588,65,2024-03,PaddleNLP
2293,217475193,9,2024-03,PaddleDetection
2294,204380779,8,2024-03,PaddleSeg
2296,262296122,7,2024-03,PaddleOCR
2304,507861208,2,2024-03,FastDeploy
2309,273214029,1,2024-03,PaddleGAN
2310,228290594,1,2024-03,PaddleSlim
